"id"|"status"|"company_parking_lot_id"|"cms_created"|"cms_updated"
"144112"|"free"|"41"|"2019-02-01 11:26:05"|"2019-02-01 11:26:05"
"144113"|"free"|"79"|"2019-02-01 11:58:05"|"2019-02-01 11:58:05"
"144115"|"occupied"|"4"|"2019-02-01 12:02:05"|"2019-02-01 12:02:05"
"144116"|"occupied"|"67"|"2019-02-01 12:03:06"|"2019-02-01 12:03:06"
"144117"|"free"|"19"|"2019-02-01 12:15:07"|"2019-02-01 12:15:07"
"144118"|"occupied"|"17"|"2019-02-01 12:17:05"|"2019-02-01 12:17:05"
"144119"|"occupied"|"16"|"2019-02-01 12:19:04"|"2019-02-01 12:19:04"
"144120"|"free"|"16"|"2019-02-01 12:20:06"|"2019-02-01 12:20:06"
"144121"|"free"|"17"|"2019-02-01 12:20:06"|"2019-02-01 12:20:06"
"144122"|"occupied"|"19"|"2019-02-01 12:20:06"|"2019-02-01 12:20:06"
"144123"|"occupied"|"46"|"2019-02-01 12:35:09"|"2019-02-01 12:35:09"
"144124"|"free"|"15"|"2019-02-01 12:42:04"|"2019-02-01 12:42:04"
"144125"|"free"|"45"|"2019-02-01 12:49:05"|"2019-02-01 12:49:05"
"144126"|"occupied"|"13"|"2019-02-01 12:52:05"|"2019-02-01 12:52:05"
"144127"|"occupied"|"5"|"2019-02-01 13:05:05"|"2019-02-01 13:05:05"
"144129"|"occupied"|"45"|"2019-02-01 13:40:04"|"2019-02-01 13:40:04"
"144130"|"free"|"54"|"2019-02-01 13:46:05"|"2019-02-01 13:46:05"
"144132"|"free"|"32"|"2019-02-01 14:17:05"|"2019-02-01 14:17:05"
"144133"|"free"|"40"|"2019-02-01 14:23:05"|"2019-02-01 14:23:05"
"144134"|"free"|"78"|"2019-02-01 14:36:05"|"2019-02-01 14:36:05"
"144135"|"free"|"3"|"2019-02-01 14:38:06"|"2019-02-01 14:38:06"
"144136"|"occupied"|"15"|"2019-02-01 14:39:05"|"2019-02-01 14:39:05"
"144137"|"free"|"68"|"2019-02-01 14:39:06"|"2019-02-01 14:39:06"
"144138"|"free"|"46"|"2019-02-01 14:49:05"|"2019-02-01 14:49:05"
"144139"|"free"|"13"|"2019-02-01 14:53:06"|"2019-02-01 14:53:06"
"144140"|"occupied"|"56"|"2019-02-01 14:53:07"|"2019-02-01 14:53:07"
"144141"|"free"|"56"|"2019-02-01 14:54:04"|"2019-02-01 14:54:04"
"144142"|"free"|"67"|"2019-02-01 14:57:06"|"2019-02-01 14:57:06"
"144143"|"occupied"|"7"|"2019-02-01 14:58:08"|"2019-02-01 14:58:08"
"144144"|"free"|"8"|"2019-02-01 15:00:04"|"2019-02-01 15:00:04"
"144145"|"free"|"7"|"2019-02-01 15:04:05"|"2019-02-01 15:04:05"
"144146"|"free"|"82"|"2019-02-01 15:06:06"|"2019-02-01 15:06:06"
"144147"|"free"|"60"|"2019-02-01 15:11:03"|"2019-02-01 15:11:03"
"144148"|"free"|"76"|"2019-02-01 15:11:04"|"2019-02-01 15:11:04"
"144149"|"free"|"84"|"2019-02-01 15:15:06"|"2019-02-01 15:15:06"
"144150"|"occupied"|"6"|"2019-02-01 15:20:05"|"2019-02-01 15:20:05"
"144151"|"occupied"|"3"|"2019-02-01 15:21:04"|"2019-02-01 15:21:04"
